recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990173912294,1.2836456,1.8901825,0.7305145,-0.013183594,-0.6694336,0.7646484,1.174819494665563,-41.63923160888656,65.8996124895382,0.78629506,-0.30345196,-0.18526678,0.5053049
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990183609294,1.1005402,2.0122528,0.97465515,-0.014160156,-0.671875,0.7519531,1.1938337057583914,-41.62611012104564,65.90738623465839,0.78632504,-0.30343366,-0.18509832,0.5053309
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990193306294,1.3446808,1.6460419,1.2798309,-0.015624993,-0.66503906,0.76123047,1.2158374603043411,-41.61403719526117,65.91898629151221,0.78634024,-0.30342954,-0.18492414,0.5053735
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990203003294,1.2836456,1.4667511,1.0967255,-0.0029296875,-0.67626953,0.7626953,1.2322104059296501,-41.59961212082353,65.92758514601044,0.7863655,-0.3033894,-0.18477012,0.5054145
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990212700294,1.2207031,1.8920898,1.0967255,-0.0024414025,-0.6738281,0.76660156,1.2506256286217114,-41.58512016925366,65.93687698537565,0.7863912,-0.30335674,-0.18460362,0.505455
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990222397294,1.4667511,2.0122528,0.7305145,-0.0126953125,-0.66552734,0.76513666,1.2664127183484097,-41.568372244529925,65.94153624684047,0.78643876,-0.30330455,-0.18443277,0.5054747
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990238531294,0.9803772,2.4414062,-0.12397766,-0.009277344,-0.66552734,0.7714844,1.3212461266566184,-41.50814623469618,65.92354714038247,0.7867595,-0.30316415,-0.18373962,0.50531214
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990254665294,0.8544922,2.380371,-0.55122375,-0.0034179688,-0.6640625,0.7558593,1.3314936604478984,-41.495957277978725,65.9140221046134,0.7868489,-0.3031414,-0.18358958,0.5052411
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990270799294,0.85639954,1.6460419,-0.30708313,-0.0043945312,-0.65966797,0.75927734,1.3363022629939298,-41.48460217039886,65.90376316702267,0.7869307,-0.30310148,-0.18347867,0.5051779
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606990285885294,0.97846985,1.707077,-0.4901886,-0.003417965,-0.66796875,0.76660156,1.3414643939933097,-41.471509201584425,65.89448709163916,0.7870131,-0.30304968,-0.18336017,0.5051236
